iter	Passed	Remaining
0	1	2764
1	6	5590
2	7	4673
3	8	3951
4	10	3852
5	11	3555
6	13	3377
7	14	3187
8	15	3047
9	16	2948
10	18	2989
11	20	3073
12	22	3125
13	24	3119
14	26	3133
15	27	3085
16	29	3115
17	30	3060
18	32	3009
19	33	2956
20	34	2904
21	37	3012
22	38	2999
23	39	2958
24	41	2954
25	42	2914
26	43	2873
27	44	2830
28	45	2788
29	46	2762
30	48	2740
31	49	2708
32	50	2699
33	52	2712
34	53	2686
35	54	2678
36	56	2678
37	57	2658
38	58	2644
39	59	2630
40	61	2621
41	62	2619
42	63	2602
43	64	2591
44	66	2576
45	68	2595
46	69	2602
47	71	2592
48	72	2578
49	73	2575
50	75	2573
51	76	2571
52	77	2568
53	79	2564
54	80	2552
55	82	2557
56	84	2573
57	85	2568
58	87	2580
59	88	2569
60	89	2559
61	91	2550
62	92	2539
63	93	2532
64	94	2524
65	95	2518
66	97	2516
67	98	2509
68	100	2514
69	101	2511
70	102	2501
71	103	2490
72	105	2485
73	106	2478
74	107	2469
75	108	2464
76	109	2458
77	110	2448
78	112	2456
79	113	2449
80	114	2437
81	116	2445
82	118	2443
83	120	2451
84	121	2445
85	122	2440
86	123	2432
87	124	2430
88	126	2431
89	128	2434
90	129	2434
91	131	2435
92	133	2442
93	134	2436
94	135	2428
95	136	2426
96	138	2423
97	139	2425
98	142	2441
99	143	2438
100	144	2432
101	145	2426
102	146	2419
103	148	2423
104	149	2418
105	151	2418
106	152	2417
107	153	2411
108	155	2408
109	156	2411
110	158	2407
111	159	2404
112	160	2397
113	161	2390
114	162	2386
115	164	2390
116	165	2384
117	166	2378
118	167	2372
119	168	2365
120	170	2362
121	171	2357
122	173	2361
123	174	2359
124	175	2356
125	176	2351
126	178	2346
127	179	2341
128	180	2342
129	182	2341
130	183	2341
131	185	2338
132	186	2333
133	187	2330
134	188	2327
135	190	2325
136	191	2325
137	192	2320
138	193	2315
139	194	2309
140	196	2310
141	197	2308
142	198	2304
143	200	2300
144	201	2296
145	202	2295
146	204	2295
147	205	2293
148	207	2298
149	208	2296
150	209	2291
151	210	2287
152	212	2286
153	213	2283
154	215	2283
155	216	2279
156	217	2275
157	218	2271
158	219	2269
159	221	2267
160	222	2263
161	223	2259
162	224	2255
163	225	2251
164	226	2247
165	227	2243
166	229	2242
167	230	2240
168	232	2239
169	233	2235
170	234	2231
171	235	2229
172	236	2226
173	238	2224
174	239	2221
175	240	2218
176	241	2214
177	243	2217
178	244	2218
179	246	2214
180	247	2211
181	249	2218
182	250	2216
183	252	2213
184	253	2209
185	254	2211
186	256	2210
187	257	2207
188	258	2205
189	260	2205
190	261	2203
191	262	2200
192	263	2195
193	264	2192
194	266	2192
195	267	2189
196	268	2188
197	270	2188
198	272	2190
199	273	2186
200	274	2183
201	275	2179
202	277	2183
203	278	2181
204	280	2180
205	281	2177
206	282	2175
207	283	2172
208	285	2170
209	286	2166
210	287	2164
